"ID","N_basidiomas","Parcela","Bosque","Fecha","Temperatura","Humedad","Precipitaciones","Cobertura","Luz_media_relativa","Riqueza"
1,162,"1","2005","septiembre",15.8,73.72,0,87.5,4.17988663505757,4
2,4,"2","2005","septiembre",15.8,73.72,0,87.5,7.03005240454886,2
3,0,"3","2005","septiembre",15.8,73.72,0,62.5,NA,0
4,0,"4","2005","septiembre",15.8,73.72,0,87.5,NA,0
5,99,"5","2005","septiembre",15.8,73.72,0,87.5,11.7143773840505,2
6,0,"6","2005","septiembre",15.8,73.72,0,62.5,NA,0
7,41,"7","2005","septiembre",15.8,73.72,0,87.5,6.1441659833874,3
8,8,"8","2005","septiembre",15.8,73.72,0,62.5,10.4809097714876,1
9,60,"11","1985","septiembre",15.8,73.72,0,41.5,4.37595807636091,1
10,20,"12","1985","septiembre",15.8,73.72,0,41.5,4.24049053509679,1
11,5,"13","1985","septiembre",15.8,73.72,0,17.5,1.76642543937828,2
12,0,"14","1985","septiembre",15.8,73.72,0,28.5,NA,0
13,9,"15","1985","septiembre",15.8,73.72,0,28.5,0.785176999037467,2
14,1,"16","1985","septiembre",15.8,73.72,0,17.5,0.409967559088803,1
15,0,"17","1985","septiembre",15.8,73.72,0,7.5,NA,0
16,0,"18","1985","septiembre",15.8,73.72,0,7.5,NA,0
17,236,"1","2005","octubre",14.88,52.84,0,87.5,2.97632611723003,5
18,26,"2","2005","octubre",14.88,52.84,0,87.5,3.11558425117103,5
19,0,"3","2005","octubre",14.88,52.84,0,62.5,NA,0
20,32,"4","2005","octubre",14.88,52.84,0,87.5,33.3270034181542,5
21,417,"5","2005","octubre",14.88,52.84,0,87.5,11.1115331054564,3
22,9,"6","2005","octubre",14.88,52.84,0,62.5,1.88758070641853,3
23,0,"7","2005","octubre",14.88,52.84,0,87.5,NA,0
24,8,"8","2005","octubre",14.88,52.84,0,62.5,2.62564881630586,2
25,3,"11","1985","octubre",14.88,52.84,0,41.5,4.85251297632612,1
26,42,"12","1985","octubre",14.88,52.84,0,41.5,1.12166096974301,3
27,5,"13","1985","octubre",14.88,52.84,0,17.5,0.808963159893657,2
28,0,"14","1985","octubre",14.88,52.84,0,28.5,NA,0
29,53,"15","1985","octubre",14.88,52.84,0,28.5,0.436764147360425,1
30,18,"16","1985","octubre",14.88,52.84,0,17.5,0.559564501835675,1
31,0,"17","1985","octubre",14.88,52.84,0,7.5,NA,0
32,3,"18","1985","octubre",14.88,52.84,0,7.5,0.231928092163565,2
33,57,"1","2005","noviembre",17.04,73.46,7,87.5,0.711186440677966,2
34,0,"2","2005","noviembre",17.04,73.46,7,87.5,NA,0
35,1,"3","2005","noviembre",17.04,73.46,7,62.5,3.70237288135593,1
36,4,"4","2005","noviembre",17.04,73.46,7,87.5,1.22237288135593,1
37,80,"5","2005","noviembre",17.04,73.46,7,87.5,2.30576271186441,3
38,0,"6","2005","noviembre",17.04,73.46,7,62.5,NA,0
39,0,"7","2005","noviembre",17.04,73.46,7,87.5,NA,0
40,0,"8","2005","noviembre",17.04,73.46,7,62.5,NA,0
41,1,"11","1985","noviembre",17.04,73.46,7,41.5,0.427796610169491,1
42,61,"12","1985","noviembre",17.04,73.46,7,41.5,2.10169491525424,3
43,8,"13","1985","noviembre",17.04,73.46,7,17.5,0.538983050847458,2
44,51,"14","1985","noviembre",17.04,73.46,7,28.5,0.556610169491525,2
45,19,"15","1985","noviembre",17.04,73.46,7,28.5,0.413694915254237,2
46,19,"16","1985","noviembre",17.04,73.46,7,17.5,3.05966101694915,4
47,0,"17","1985","noviembre",17.04,73.46,7,7.5,NA,0
48,24,"18","1985","noviembre",17.04,73.46,7,7.5,0.488813559322034,4
49,0,"1","2005","diciembre",19.1,61.93,0,87.5,NA,0
50,0,"2","2005","diciembre",19.1,61.93,0,87.5,NA,0
51,0,"3","2005","diciembre",19.1,61.93,0,62.5,NA,0
52,0,"4","2005","diciembre",19.1,61.93,0,87.5,NA,0
53,173,"5","2005","diciembre",19.1,61.93,0,87.5,5.47700308792459,2
54,2,"6","2005","diciembre",19.1,61.93,0,62.5,6.46838940354299,1
55,0,"7","2005","diciembre",19.1,61.93,0,87.5,NA,0
56,0,"8","2005","diciembre",19.1,61.93,0,62.5,NA,0
57,0,"11","1985","diciembre",19.1,61.93,0,41.5,NA,0
58,35,"12","1985","diciembre",19.1,61.93,0,41.5,5.59726962457338,2
59,16,"13","1985","diciembre",19.1,61.93,0,17.5,1.51308304891923,3
60,5,"14","1985","diciembre",19.1,61.93,0,28.5,3.16918576304242,2
61,18,"15","1985","diciembre",19.1,61.93,0,28.5,3.10417682431334,2
62,0,"16","1985","diciembre",19.1,61.93,0,17.5,NA,0
63,1,"17","1985","diciembre",19.1,61.93,0,7.5,0.357549163009914,1
64,1,"18","1985","diciembre",19.1,61.93,0,7.5,0.351048269137006,1
65,60,"1","2005","enero",24.48,68.04,5.2,87.5,24.4312267657993,1
66,0,"2","2005","enero",24.48,68.04,5.2,87.5,NA,0
67,9,"3","2005","enero",24.48,68.04,5.2,62.5,23.6282527881041,1
68,33,"4","2005","enero",24.48,68.04,5.2,87.5,17.3977695167286,2
69,216,"5","2005","enero",24.48,68.04,5.2,87.5,37.8438661710037,3
70,6,"6","2005","enero",24.48,68.04,5.2,62.5,17.182156133829,3
71,35,"7","2005","enero",24.48,68.04,5.2,87.5,24.728624535316,2
72,1,"8","2005","enero",24.48,68.04,5.2,62.5,44.6840148698885,1
73,1,"11","1985","enero",24.48,68.04,5.2,41.5,3.65055762081784,1
74,12,"12","1985","enero",24.48,68.04,5.2,41.5,21.0334572490706,4
75,7,"13","1985","enero",24.48,68.04,5.2,17.5,16.1412639405204,2
76,133,"14","1985","enero",24.48,68.04,5.2,28.5,10.9219330855019,3
77,5,"15","1985","enero",24.48,68.04,5.2,28.5,22.9739776951673,1
78,5,"16","1985","enero",24.48,68.04,5.2,17.5,8.20817843866171,3
79,2,"17","1985","enero",24.48,68.04,5.2,7.5,5.66542750929368,1
80,6,"18","1985","enero",24.48,68.04,5.2,7.5,17.457249070632,1
81,19,"1","2005","febrero",27.54,72.06,58,87.5,3.20932277924362,5
82,42,"2","2005","febrero",27.54,72.06,58,87.5,28.7598944591029,3
83,9,"3","2005","febrero",27.54,72.06,58,62.5,1.25769569041337,3
84,35,"4","2005","febrero",27.54,72.06,58,87.5,9.98240985048373,4
85,215,"5","2005","febrero",27.54,72.06,58,87.5,25.8663148636763,3
86,3,"6","2005","febrero",27.54,72.06,58,62.5,51.1873350923483,1
87,101,"7","2005","febrero",27.54,72.06,58,87.5,25.4177660510114,2
88,31,"8","2005","febrero",27.54,72.06,58,62.5,6.89533861037819,1
89,27,"11","1985","febrero",27.54,72.06,58,41.5,43.3597185576077,3
90,92,"12","1985","febrero",27.54,72.06,58,41.5,12.2603342128408,3
91,15,"13","1985","febrero",27.54,72.06,58,17.5,0.847845206684257,1
92,3,"14","1985","febrero",27.54,72.06,58,28.5,0.454705364995602,1
93,24,"15","1985","febrero",27.54,72.06,58,28.5,0.970976253298153,2
94,8,"16","1985","febrero",27.54,72.06,58,17.5,1.85576077396658,2
95,6,"17","1985","febrero",27.54,72.06,58,7.5,0.6948109058927,2
96,7,"18","1985","febrero",27.54,72.06,58,7.5,1.3896218117854,2
97,52,"1","2005","marzo",21.4,54.04,0,87.5,16.5451997196917,2
98,66,"2","2005","marzo",21.4,54.04,0,87.5,17.0217238962859,2
99,7,"3","2005","marzo",21.4,54.04,0,62.5,3.96636299929923,2
100,18,"4","2005","marzo",21.4,54.04,0,87.5,43.7981779957954,2
101,17,"5","2005","marzo",21.4,54.04,0,87.5,14.0154169586545,2
102,14,"6","2005","marzo",21.4,54.04,0,62.5,13.4618079887877,1
103,10,"7","2005","marzo",21.4,54.04,0,87.5,40.8549404344779,1
